Year,Metric,Group,Subgroup,Order,Characteristic,Percent
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,4.8
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,4.2
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,4.4
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,5.1
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,5.6
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,6
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,6.3
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,7.1
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,7.2
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,7
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,7.2
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,8
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,8.4
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,8.3
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,7.7
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,6.8
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,6.4
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,5.6
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Total,1,Total,5.2
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.5
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.4
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.3
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.7
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.7
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.3
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.5
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.3
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.8
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.2
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.4
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.4
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,4
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,3.4
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,3.2
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,2.9
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 19 years,2,Under 19 years,2.8
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.5
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.6
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.2
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.7
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.9
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.7
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.6
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,7.3
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,7
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.4
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.9
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,7
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.6
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,6.2
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.6
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,5.3
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.3
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 19 years,2,Under 19 years,4.1
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.1
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.1
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.7
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.4
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,3
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.7
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.7
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.9
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,3
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,3
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.7
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,3.1
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,3.2
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.8
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.4
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.2
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,2.2
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,1.6
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 19 years,2,Under 19 years,1.6
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.4
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.3
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.2
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.6
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.7
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.3
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.4
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.2
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.7
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.1
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,5.4
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,5.2
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.4
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,3.8
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,3.2
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,3.1
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,2.8
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,3,Under 18 years,2.7
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,5.6
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.5
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.2
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.7
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,5.9
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,5.6
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.6
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,7.3
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.9
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.3
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,7
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,7.1
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.6
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,6.1
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,5.5
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.9
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.2
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,3,Under 18 years,4.1
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.2
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.1
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.7
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.4
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.9
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.6
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.7
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.8
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.9
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,3
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.6
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,3.1
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,3.2
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.7
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.3
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2.2
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,2
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,1.6
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,3,Under 18 years,1.6
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.3
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.4
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.1
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.6
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.7
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.5
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.4
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.7
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.3
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.2
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.1
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.2
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.4
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.7
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.9
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.3
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.2
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.1
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.2
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.9
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.4
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,5.1
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.1
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.3
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.1
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.8
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.7
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.7
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.9
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,4.9
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.9
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,3.9
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.8
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.7
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,2.8
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,4,  Under 6 years,1.9
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,1.6
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,1.8
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.5
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.2
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.7
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.1
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.2
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.5
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.7
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.2
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.7
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.1
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2.5
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,1.4
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,2
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,1.7
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,1.3
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,4,  Under 6 years,1.4
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.9
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.8
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.3
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,5
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,5.2
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.2
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.7
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.7
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.7
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,5
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.5
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,6
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,5.7
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.8
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.2
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,3.6
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,3.5
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,3.2
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,Under 18 years,5,  6-17 years,2.9
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.8
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.4
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.8
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7.5
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.8
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.5
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7.5
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,8.4
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7.9
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7.5
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,8.1
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7.9
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,7.5
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.9
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,6.4
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,5.7
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.7
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,Under 18 years,5,  6-17 years,4.9
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.4
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.3
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.8
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.5
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.9
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3.1
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3.1
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3.2
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.8
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3.3
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,3.7
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.8
